NAME,POPULATION
Croydon,392224.00 
Barnet,389101.00 
Ealing,369937.00 
Newham,358645.00 
Brent,341221.00 
Bromley,329578.00 
Wandsworth,329035.00 
Enfield,327224.00 
Tower Hamlets,325789.00 
Lambeth,316812.00 
Southwark,311913.00 
Redbridge,310911.00 
Hillingdon,310681.00 
Lewisham,298653.00 
Greenwich,291080.00 
Hounslow,290488.00 
Waltham Forest,275887.00 
Havering,264703.00 
Haringey,261811.00 
Hackney,261491.00 
Harrow,261185.00 
Bexley,247835.00 
Islington,220373.00 
Barking and Dagenham,219992.00 
Camden,218049.00 
Merton,214709.00 
Westminster,211365.00 
Sutton,210053.00 
Richmond upon Thames,194894.00 
Hammersmith and Fulham,185238.00 
Kingston upon Thames,168302.00 
Kensington and Chelsea,146154.00 
City of London,10847.00 
